
,7690,0,7690,591.538,589.113,156641,232321,52,1302,6.91602,4091.09,1,591.538,0,26,1,6,0,unknown,sdkopmetrics-asia.dsp-api.moloco.com,,443,37294,1776086980
8.84095,14,0,2622,0,2622,187.286,344.915,1.47349e+06,3.23442e+06,52,1322,1.58354,296.574,1,187.286,0,30,1,6,0,unknown,thecsrjournal.in,,40002,443,1776086980
1.05786,11,0,5936,0,5936,539.636,558.679,105786,164168,52,1302,10.3983,5611.32,1,539.636,0,26,1,6,0,unknown,o-sdk.mediation.unity3d.com,,443,33036,1776086980
9.71482,33,0,11833,0,11833,358.576,479.565,647655,1.92481e+06,52,1322,3.39687,1218.04,1,358.576,0,30,1,6,4,browsing,notifications-pa.googleapis.com,Google,48784,443,1776086985
9.71482,33,0,11833,0,11833,358.576,479.565,647655,1.92481e+06,52,1322,3.39687,1218.04,1,358.576,0,30,1,6,4,browsing,notifications-pa.googleapis.com,Google,48784,443,1776086990
1.28851,11,0,2061,0,2061,187.364,179.016,161064,181398,52,615,8.53699,1599.52,1,187.364,0,27,1,6,4,browsing,www.google.com,Google,37180,443,1776087135
1.28851,11,0,2061,0,2061,187.364,179.016,161064,181398,52,615,8.53699,1599.52,1,187.364,0,27,1,6,4,browsing,www.google.com,Google,37180,443,1776087140
0.197024,11,0,2499,0,2499,227.182,380.904,39404.8,29566.5,52,1322,55.8308,12683.7,1,227.182,0,26,1,6,4,browsing,youtubei.googleapis.com,Google,47064,443,1776087145
0.559719,100,0,18848,0,18848,188.48,362.885,8611.06,10083.7,59,1278,178.661,33674,1,188.48,0,0,0,17,1,video,rr6---sn-gwpa-cvhe6.googlevideo.com,YouTube,60564,443,1776087145
0.593773,773,0,974370,0,974370,1260.5,139.462,769.136,3679.24,51,1278,1301.84,1.64098e+06,1,1260.5,0,0,0,17,1,video,rr6---sn-gwpa-cvhe6.googlevideo.com,YouTube,443,60564,1776087145
1.88397,31,0,9124,0,9124,294.323,412.059,125598,273013,59,1278,16.4546,4842.97,1,294.323,0,0,0,17,1,video,rr4---sn-gwpa-cvhr.googlevideo.com,YouTube,56573,443,1776087145
1.97456,30,0,12598,0,12598,419.933,518.113,68088.4,118436,50,1278,15.1932,6380.14,1,419.933,0,0,0,17,1,video,s.youtube.com,YouTube,443,46659,1776087145
1.94652,177,0,29374,0,29374,165.955,329.341,20276.3,63333.3,59,1278,90.9313,15090.5,1,165.955,0,0,0,17,1,video,rr6---sn-gwpa-cvhk.googlevideo.com,YouTube,49443,443,1776087145
